"Id","SalePrice"
1461,115837.02182627
1462,162434.900315916
1463,181611.318253561
1464,194191.387986403
1465,199324.372844816
1466,167746.44094503
1467,174103.185581598
1468,162951.237300233
1469,192825.546560609
1470,121407.01931606
1471,192884.359551092
1472,94264.7735443633
1473,92881.9402930385
1474,146730.152824387
1475,109469.9707943
1476,361564.709327167
1477,254781.418710569
1478,292293.546113144
1479,289303.192969388
1480,476026.508333714
1481,347961.042706029
1482,219849.091824825
1483,177786.116206613
1484,167544.528608111
1485,191339.769528066
1486,196024.000996583
1487,329934.466053615
1488,234785.130445531
1489,196198.498747846
1490,232724.788189375
1491,197042.390802662
1492,91840.6099039529
1493,188138.477798301
1494,301460.463885256
1495,294030.534930305
1496,231777.582497824
1497,179826.920513791
1498,168377.922810804
1499,160947.933116147
1500,157687.213561675
1501,174653.587098194
1502,147684.973389959
1503,296474.068745563
1504,244920.591916707
1505,225769.768500687
1506,196547.102340308
1507,242338.715955584
1508,200530.501595241
1509,158739.934026041
1510,145960.367769849
1511,147167.260629049
1512,180292.794661508
1513,144235.158588203
1514,162336.890095988
1515,187455.299068976
1516,155159.689363214
1517,169705.484108889
1518,133844.383537578
1519,211922.080228058
1520,131549.524606781
1521,131516.177500141
1522,175740.667505207
1523,110431.706251191
1524,123808.205573021
1525,117828.978381939
1526,117846.905580189
1527,102113.787938738
1528,134679.054040785
1529,151823.665506156
1530,181464.134749558
1531,107302.493685978
1532,102393.751469825
1533,158079.298649659
1534,121361.287478946
1535,153000.433997657
1536,110736.756964366
1537,66109.8934625847
1538,159327.199968543
1539,196719.980576154
1540,94512.4480829055
1541,140497.583694454
1542,142546.944941134
1543,196114.748814199
1544,86480.4116903019
1545,114448.599285637
1546,133689.613095599
1547,133778.568597317
1548,138805.950021742
1549,118710.711905267
1550,136617.783416317
1551,112504.638115095
1552,135520.88882481
1553,154643.640583093
1554,118340.928523638
1555,167988.59254689
1556,87792.9144047907
1557,107144.479997502
1558,93004.1648052546
1559,79257.5911594047
1560,140660.06258295
1561,131783.947619733
1562,131128.142778565
1563,122237.121371557
1564,161182.91345421
1565,146008.103178246
1566,240330.895580116
1567,73614.7507721903
1568,244072.415093716
1569,132574.739700933
1570,138767.793105794
1571,121335.886408659
1572,143318.880119428
1573,227452.487975466
1574,126641.915317059
1575,229967.4592651
1576,248138.215896025
1577,185381.911656665
1578,139637.948791062
1579,147943.290033877
1580,194157.989527887
1581,159594.722078777
1582,126858.728319856
1583,310821.481083566
1584,219547.678181729
1585,140797.15679019
1586,62036.2757862692
1587,99971.7735415411
1588,153245.902828187
1589,97821.9646077728
1590,134086.277157245
1591,96647.3381127633
1592,115907.879554318
1593,124215.651897907
1594,134322.139486612
1595,113496.389848374
1596,231021.766106656
1597,196216.067586277
1598,226060.188956892
1599,166064.648083498
1600,167659.103819363
1601,61324.1869001249
1602,107960.096722239
1603,74568.8355906323
1604,269602.188310766
1605,244943.260043082
1606,168650.916407669
1607,169937.912010751
1608,222430.708254492
1609,185458.845589168
1610,150103.366498715
1611,142496.922939819
1612,168089.977131983
1613,161769.867237045
1614,124205.397381813
1615,90352.3337034677
1616,76554.9233408936
1617,88263.5510233342
1618,120554.516162032
1619,137414.427828258
1620,167339.692786531
1621,132248.210796395
1622,138341.220354999
1623,270315.925231521
1624,211683.892567733
1625,117540.661084885
1626,166077.801907164
1627,184376.787660502
1628,272634.132565092
1629,177174.767739825
1630,354221.525331301
1631,232702.410392446
1632,252572.909248598
1633,171484.603008865
1634,184809.193362854
1635,178188.303370703
1636,150427.060031728
1637,197936.231255128
1638,186401.761453759
1639,180941.193693151
1640,258882.722654226
1641,178431.932406389
1642,236145.942102622
1643,215091.119106232
1644,232405.064835418
1645,202083.350967946
1646,156439.756851546
1647,151325.793925565
1648,132305.849563484
1649,140767.322146646
1650,112852.846103883
1651,114336.611326622
1652,98014.1739796781
1653,99737.8063814209
1654,143726.112708764
1655,138910.147809482
1656,142069.314070698
1657,148022.098848011
1658,143095.827460493
1659,115693.738665058
1660,149689.347077697
1661,446576.17994453
1662,386376.123949735
1663,370204.331526697
1664,493103.457774466
1665,293320.464365637
1666,325598.935807272
1667,359260.516924579
1668,329059.377853376
1669,296686.334110378
1670,328858.393266691
1671,267675.739169277
1672,427406.400340742
